Latitude;Longitude;Num Ligne;rang;Type;Nom_Station;trafic_2018;trafic_2019;trafic_2020;correspondance_1;correspondance_2;correspondance_3;correspondance_4;correspondance_5;ville;arrondissement_pour_paris;;annee;traffic total
48.8373074946;2.29663034323;12;67;Metro;CONVENTION;5609633;5275717;2674415;12;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8948364684;2.38252234342;7;196;Metro;CORENTIN CARIOU;3023221;2766678;1329810;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.8270854489;2.27941168205;12;138;Metro;CORENTIN CELTON;3715160;3438335;1774654;12;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Issy Les Moulineaux;;;;
48.8297905137;2.35041487201;6;226;Metro;CORVISART;2819792;2512122;1157408;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;13;;;
48.8333385593;2.38663240207;14;61;Metro;COUR SAINT-EMILION;6068940;6043808;2792734;14;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8792141342;2.30352872537;2;225;Metro;COURCELLES;2713346;2557929;1168779;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;17;;;
48.7012177212;2.09797585569;RER B;65;RER;COURCELLE-SUR-YVETTE;576015;566162;280118;RER B;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Gif sur Yvette;;;;
48.8690911629;2.38054258599;2;157;Metro;COURONNES;3036984;2897777;1623475;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;11;;;
48.7967407666;2.44943317569;8;213;Metro;CRETEIL-L'ECHAT;2328225;2253948;1209224;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Creteil;;;;
48.7687151253;2.46456499321;8;150;Metro;CRETEIL-POINTE DU LAC;2924153;2849288;1684557;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Creteil;;;;
48.779905317;2.45936839626;8;62;Metro;CRETEIL-PREFECTURE;5028020;4663191;2778189;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Creteil;;;;
48.7899783103;2.45045317792;8;125;Metro;CRETEIL-UNIVERSITE;3558391;3536972;1935234;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Creteil;;;;
48.8907889695;2.3773157556;7;65;Metro;CRIMEE;5921134;5431969;2688758;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.8579655912;2.43555571569;9;60;Metro;CROIX DE CHAVAUX;5210557;4954717;2839164;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Montreuil;;;;
48.8819319987;2.39344545649;7bis;298;Metro;DANUBE;566268;547896;266623;7bis;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;19;;;
48.8394454284;2.39618288645;"6; 8";63;Metro;DAUMESNIL;5317608;4954004;2723508;6;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8334508582;2.33174013099;"4; 6";133;Metro;DENFERT-ROCHEREAU;4401791;3911586;1818730;4;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;14;;;
48.8342929805;2.33285230996;RER B;24;RER;DENFERT-ROCHEREAU-RER;4733142;4898356;2351759;RER B;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;14;;;
48.8390411437;2.38962001134;6;217;Metro;DUGOMMIER;2836152;2579556;1200589;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.850434549;2.29361243991;6;131;Metro;DUPLEIX;4092602;3221871;1839499;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8470525545;2.31642435206;"10; 13";124;Metro;DUROC;3645141;3596220;1972711;10;13;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;7;;;
