Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.428299747223668, 48.625760844026836]}";Gare RER Evry - Courcouronnes;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;1;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.625760844,2.42829974722
"{""type"": ""Point"", ""coordinates"": [2.660540340827731, 48.54252014032364]}";Charles de Gaulle;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5425201403,2.66054034083
"{""type"": ""Point"", ""coordinates"": [2.601065007658997, 48.573905301660204]}";Coulée verte;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5739053017,2.60106500766
"{""type"": ""Point"", ""coordinates"": [2.312791961501291, 48.89498081072531]}";Porte de Clichy;114;metro 14 MSO;11402;ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;11;14;1;0;1;;0;1;0;9;1;2012-10-04T02:00:00+02:00;1;48.8949808107,2.3127919615
"{""type"": ""Point"", ""coordinates"": [2.212616854502213, 48.894023211577036]}";Les Amandiers;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.8940232116,2.2126168545
"{""type"": ""Point"", ""coordinates"": [2.6617100030204, 48.538745544845845]}";Saint Jean;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5387455448,2.66171000302
"{""type"": ""Point"", ""coordinates"": [2.660143989349918, 48.536126430860634]}";Ile Notre-Dame;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5361264309,2.66014398935
"{""type"": ""Point"", ""coordinates"": [2.405981396578817, 48.64475329613948]}";Auguste Plat;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6447532961,2.40598139658
"{""type"": ""Point"", ""coordinates"": [2.212948932558466, 48.90104293398842]}";Nanterre Université;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;1;0;3;;0;1;0;5;0;;1;48.901042934,2.21294893256
"{""type"": ""Point"", ""coordinates"": [2.377900292051548, 48.80320645689224]}";Germaine Tailleferre;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.8032064569,2.37790029205
"{""type"": ""Point"", ""coordinates"": [2.655870473704002, 48.532000079714855]}";Thiers;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5320000797,2.6558704737
"{""type"": ""Point"", ""coordinates"": [2.403672349131762, 48.642589013200535]}";La Mare à pilâtre;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6425890132,2.40367234913
"{""type"": ""Point"", ""coordinates"": [2.214860122776601, 48.90847482243021]}";Petit Nanterre;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.9084748224,2.21486012278
"{""type"": ""Point"", ""coordinates"": [2.396254896670941, 48.77865045931535]}";Plâtrières;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7786504593,2.39625489667
"{""type"": ""Point"", ""coordinates"": [2.655062949098435, 48.52851515394331]}";Place de la Gare;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;1;1;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5285151539,2.6550629491
"{""type"": ""Point"", ""coordinates"": [2.418577578138076, 48.62759555705472]}";Georges Brassens;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6275955571,2.41857757814
"{""type"": ""Point"", ""coordinates"": [2.321743589558778, 48.9044964205746]}";Clichy - Saint-Ouen RER;114;metro 14 MSO;11402;ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;11;14;1;0;1;;0;1;0;9;1;2012-10-04T02:00:00+02:00;1;48.9044964206,2.32174358956
"{""type"": ""Point"", ""coordinates"": [2.408878704686086, 48.75920078773302]}";Carle-Darthe;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7592007877,2.40887870469
"{""type"": ""Point"", ""coordinates"": [2.368239750799281, 48.815531964077216]}";Barbès-Châteaudun;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.8155319641,2.3682397508
"{""type"": ""Point"", ""coordinates"": [2.422343841761751, 48.62940694319859]}";Jean Renoir;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;0;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6294069432,2.42234384176
"{""type"": ""Point"", ""coordinates"": [2.467356117418251, 48.882243731337404]}";Coteaux Beauclair;109;metro 11 - RBP;10901;ligne 11 à Rosny-Bois-Perrier;arrêt;1;11;11;0;0;1;;0;1;0;9;1;2014-05-28T02:00:00+02:00;1;48.8822437313,2.46735611742
"{""type"": ""Point"", ""coordinates"": [2.416612616850875, 48.7524138808094]}";Christophe Colomb;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7524138808,2.41661261685
"{""type"": ""Point"", ""coordinates"": [2.399375864563053, 48.77299263154347]}";Trois Communes;315;Tram 09;31501;T9 : Tramway Paris - Orly;arrêt;3;31;9;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7729926315,2.39937586456
